"flight","date","blh_m","leg_ids","background_ppb"
"AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict","2024-06-28","","",""
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict","2024-06-29","","",""
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict","2024-06-29","","",""
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L1.ict","2024-07-02","2377","",""
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict","2024-07-02","2902","",""
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L1.ict","2024-07-03","2727","",""
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L2.ict","2024-07-03","3352","",""
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L1.ict","2024-07-04","2602","",""
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L2.ict","2024-07-04","2952","",""
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L1.ict","2024-07-05","2477","",""
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L2.ict","2024-07-05","4752","",""
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L1.ict","2024-07-08","1602","",""
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L2.ict","2024-07-08","1852","",""
"AMMBEC-ARL-Suite_TwinOtter_20240709_R0.ict","2024-07-09","3302","",""
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L1.ict","2024-07-10","902","",""
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L2.ict","2024-07-10","3252","",""
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L1.ict","2024-07-11","852","",""
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L2.ict","2024-07-11","3802","",""
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L1.ict","2024-07-12","2802","",""
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L2.ict","2024-07-12","4152","",""
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L1.ict","2024-07-13","352","",""
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L2.ict","2024-07-13","1752","",""
