year,zone,month,methane_pct,ethane_pct,propane_pct,gross_heating_value_btu_scf,specific_gravity,c2h6_ch4_mol
2018,BAYFIELD,JAN,94.059,4.009,0.072,1028.1,0.5902,0.0426
2018,BAYFIELD,FEB,93.111,4.788,0.036,1031.0,0.5946,0.0514
2018,BAYFIELD,MAR,93.177,4.552,0.067,1029.0,0.5945,0.0489
2018,BAYFIELD,APR,95.253,2.975,0.087,1022.9,0.5837,0.0312
2018,BAYFIELD,MAY,93.254,4.993,0.061,1036.7,0.5925,0.0535
2018,BAYFIELD,JUN,93.197,4.813,0.073,1033.4,0.5946,0.0516
2018,BAYFIELD,JUL,93.46,4.553,0.057,1031.0,0.5932,0.0487
2018,BAYFIELD,AUG,94.505,3.783,0.036,1027.1,0.5861,0.04
2018,BAYFIELD,SEP,94.149,4.108,0.035,1029.4,0.5882,0.0436
2018,BAYFIELD,AVG,93.729,4.271,0.061,1029.1,0.5915,0.0456
2018,BRUSH,JAN,85.012,10.068,1.525,1097.7,0.6491,0.1184
2018,BRUSH,FEB,87.188,7.376,1.721,1079.1,0.6385,0.0846
2018,BRUSH,MAR,86.134,8.475,1.758,1090.4,0.645,0.0984
2018,BRUSH,APR,86.142,8.907,1.458,1088.0,0.6426,0.1034
2018,BRUSH,MAY,87.66,7.313,1.43,1073.9,0.6336,0.0834
2018,BRUSH,JUN,88.125,6.478,1.55,1069.5,0.6326,0.0735
2018,BRUSH,JUL,89.082,5.637,1.389,1058.7,0.6258,0.0633
2018,BRUSH,AUG,88.656,6.064,1.399,1063.3,0.6288,0.0684
2018,BRUSH,SEP,88.229,6.069,1.595,1066.9,0.6331,0.0688
2018,BRUSH,AVG,86.636,8.15,1.584,1083.5,0.6407,0.0941
2018,DENVER,JAN,78.707,11.731,1.187,1048.4,0.6741,0.149
2018,DENVER,FEB,79.021,11.587,1.165,1048.2,0.6723,0.1466
2018,DENVER,MAR,78.143,12.011,1.248,1050.0,0.6773,0.1537
2018,DENVER,APR,78.48,11.527,1.352,1049.0,0.6765,0.1469
2018,DENVER,MAY,78.907,10.668,1.691,1050.6,0.6771,0.1352
