"flight","date","n_points","bg_scatter_ppb","gate_over_scatter","gate_over_precision"
"20240703_R0_L1","2024-07-03",896,7.56,2.6,20
"20240703_R0_L2","2024-07-03",286,9.97,2,20
"20240705_R0_L1","2024-07-05",898,2.45,8.2,20
"20240708_R0_L1","2024-07-08",426,2.97,6.7,20
"20240708_R0_L2","2024-07-08",68,0.89,22.5,20
"20240709_R0","2024-07-09",273,7.86,2.5,20
"20240710_R0_L1","2024-07-10",999,6.23,3.2,20
"20240710_R0_L2","2024-07-10",185,0.59,33.7,20
"20240712_R0_L1","2024-07-12",83,0.59,33.7,20
"20240713_R0_L1","2024-07-13",2172,4.33,4.6,20
"20240713_R0_L2","2024-07-13",1041,8.9,2.2,20
