"flight","date","n_basin_legs","n_legs_used","n_points","basin_ratio","ci_lo","ci_hi","r","usable"
"20240712_R0_L1","2024-07-12",4,2,64,0.10419,0.05012,0.10447,0.871,TRUE
"20240629_R0_L1","2024-06-29",10,2,141,0.09702,0.02278,0.18281,0.596,TRUE
"20240705_R0_L1","2024-07-05",9,1,64,0.05451,0.05451,0.05451,0.558,FALSE
"20240710_R0_L1","2024-07-10",8,4,171,0.03962,0.02434,0.0694,0.727,TRUE
"20240711_R0_L1","2024-07-11",15,13,1576,0.03626,0.01663,0.06647,0.53,TRUE
"20240708_R0_L1","2024-07-08",7,2,122,0.03073,0.03073,0.03741,0.871,TRUE
"20240703_R0_L1","2024-07-03",12,5,332,0.02653,0.0102,0.0499,0.559,TRUE
"20240713_R0_L1","2024-07-13",9,8,1093,0.02468,0.0151,0.03056,0.823,TRUE
"20240704_R0_L2","2024-07-04",15,12,615,0.02444,0.00642,0.04549,0.396,FALSE
"20240704_R0_L1","2024-07-04",7,5,307,0.01724,-0.0032,0.04184,0.372,FALSE
"20240708_R0_L2","2024-07-08",8,4,79,-0.00142,-0.01644,0.2153,-0.024,FALSE
"20240711_R0_L2","2024-07-11",18,8,126,-0.01034,-0.09479,0.00305,-0.112,FALSE
"20240629_R0_L2","2024-06-29",10,4,136,-0.04419,-0.06814,0.86459,-0.329,FALSE
"20240705_R0_L2","2024-07-05",15,4,110,-0.05383,-0.0855,0.00109,-0.347,FALSE
"20240712_R0_L2","2024-07-12",4,1,69,-0.41693,-0.41693,-0.41693,-0.5,FALSE
