"beta_source","median_fossil_pct","min_fossil_pct","max_fossil_pct","n_flights_majority_fossil","note"
0.04,62,0,100,5,""
0.045,55,0,100,4,""
0.05,49,0,100,3,""
0.055,45,0,100,3,""
0.06,41,0,96,3,""
0.065,38,0,89,3,""
0.07,35,0,83,3,""
0.075,33,0,77,3,""
0.08,31,0,72,3,""
0.0813,30,0,71,3,"ARC ground measurement, AMMBEC 2024"
0.085,29,0,68,2,""
0.09,27,0,64,2,""
0.095,26,0,61,2,""
0.1,25,0,58,2,""
0.105,24,0,55,1,""
0.11,22,0,53,1,"adopted (raw DJB/Wattenberg gas)"
0.11,22,0,53,1,"adopted (raw DJB/Wattenberg gas)"
0.115,21,0,50,1,""
0.12,21,0,48,0,""
0.125,20,0,46,0,""
0.13,19,0,44,0,""
0.135,18,0,43,0,""
0.14,18,0,41,0,""
0.145,17,0,40,0,""
0.15,16,0,39,0,""
0.155,16,0,37,0,""
0.16,15,0,36,0,""
