"time","blh_m"
2024-06-01 00:12:42.273757,101.63
2024-06-01 00:32:42.092526,3051.63
2024-06-01 00:52:42.339797,4101.63
2024-06-01 01:12:42.049685,2551.63
2024-06-01 01:32:42.258565,2901.63
2024-06-01 01:52:42.056181,2601.63
2024-06-01 02:12:42.263099,2351.63
2024-06-01 02:32:42.21687,2201.63
2024-06-01 02:52:42.214394,2401.63
2024-06-01 03:12:29.594777,2701.63
2024-06-01 03:32:42.026996,2851.63
2024-06-01 03:52:42.182003,2801.63
2024-06-01 04:12:42.078,401.63
2024-06-01 04:32:42.025021,NA
2024-06-01 04:52:42.190027,1751.63
2024-06-01 05:12:42.080008,NA
2024-06-01 05:32:42.043998,1951.63
2024-06-01 05:52:42.231081,1001.63
2024-06-01 06:12:42.164042,NA
2024-06-01 06:32:42.072007,NA
2024-06-01 06:52:42.239999,NA
2024-06-01 07:12:42.155016,151.63
2024-06-01 07:32:42.081006,NA
2024-06-01 07:52:42.303011,NA
2024-06-01 08:12:42.007025,NA
2024-06-01 08:32:42.177049,251.63
2024-06-01 08:52:42.14802,NA
2024-06-01 09:12:42.122018,NA
2024-06-01 09:32:42.199989,NA
2024-06-01 09:52:42.163013,1251.63
2024-06-01 10:12:42.106022,NA
2024-06-01 10:32:42.101032,1401.63
2024-06-01 10:52:42.035038,451.63
2024-06-01 11:12:42.229031,NA
2024-06-01 11:32:42.126898,551.63
2024-06-01 11:52:42.034029,NA
2024-06-01 12:12:42.195101,851.63
2024-06-01 12:32:42.179922,NA
2024-06-01 12:52:42.103026,NA
2024-06-01 13:12:42.222024,NA
2024-06-01 13:32:42.152017,101.63
2024-06-01 13:52:42.128037,NA
2024-06-01 14:12:42.110042,101.63
2024-06-01 14:32:42.057064,NA
2024-06-01 14:52:42.013007,101.63
2024-06-01 15:12:42.223043,151.63
2024-06-01 15:32:42.147032,301.63
2024-06-01 15:52:42.08998,151.63
2024-06-01 16:12:42.072015,2601.63
2024-06-01 16:32:42.231055,2651.63
2024-06-01 16:52:42.179033,2401.63
2024-06-01 17:12:42.152669,2651.63
2024-06-01 17:32:42.120532,2601.63
2024-06-01 17:52:42.040024,2651.63
2024-06-01 18:12:42.211999,2901.63
2024-06-01 18:32:42.146066,2651.63
2024-06-01 18:52:42.112028,2751.63
2024-06-01 19:12:42.015025,2751.63
2024-06-01 19:32:42.195016,3101.63
2024-06-01 19:52:42.144945,5251.63
2024-06-01 20:12:42.099038,2351.63
2024-06-01 20:32:42.108421,2651.63
2024-06-01 20:52:42.04101,3851.63
2024-06-01 21:12:42.207051,4801.63
2024-06-01 21:32:42.142003,3651.63
2024-06-01 21:52:42.015036,3151.63
2024-06-01 22:12:42.174016,3251.63
2024-06-01 22:32:42.155025,2751.63
2024-06-01 22:52:42.069005,2951.63
2024-06-01 23:12:42.274243,2951.63
2024-06-01 23:32:42.223367,3201.63
2024-06-01 23:52:42.156026,3701.63
2024-06-02 00:12:42.073004,151.63
2024-06-02 00:32:42.068044,NA
2024-06-02 00:52:42.29008,NA
2024-06-02 01:12:42.032053,NA
2024-06-02 01:32:42.224105,851.63
2024-06-02 01:52:42.184665,NA
2024-06-02 02:12:42.111329,NA
2024-06-02 02:32:42.053051,3501.63
2024-06-02 02:52:42.206056,6251.63
2024-06-02 03:12:42.129531,5751.63
2024-06-02 03:32:42.067078,5251.63
2024-06-02 03:52:42.016032,NA
2024-06-02 04:12:42.181157,NA
2024-06-02 04:32:42.125061,NA
2024-06-02 04:52:42.103022,NA
2024-06-02 05:12:41.999753,351.63
2024-06-02 05:32:42.163038,801.63
2024-06-02 05:52:42.07206,751.63
2024-06-02 06:12:42.173054,1701.63
2024-06-02 06:32:42.148058,NA
2024-06-02 06:52:42.101034,NA
2024-06-02 07:12:41.997071,301.63
2024-06-02 07:32:42.228078,NA
2024-06-02 07:52:42.219085,NA
2024-06-02 08:12:42.20118,NA
2024-06-02 08:32:42.215059,NA
2024-06-02 08:52:42.141069,301.63
2024-06-02 09:12:42.072119,NA
2024-06-02 09:32:42.366061,NA
2024-06-02 09:52:42.028041,NA
2024-06-02 10:12:42.209059,NA
2024-06-02 10:32:42.147069,NA
2024-06-02 10:52:42.122123,NA
2024-06-02 11:12:42.033086,NA
2024-06-02 11:32:42.226053,NA
2024-06-02 11:52:42.144037,NA
2024-06-02 12:12:42.150714,NA
