plume_id,gas,sector,date,platform,instrument,lat,lon,kg_hr,kg_hr_unc,wind_m_s,fetched
tan20260408t190808c04s4001-A,CH4,1B2,2026-04-08,Tanager,tan,39.9088,-105.0528,848,114,5.4,2026-09-12
tan20260325t190536c19s4001-B,CH4,6A,2026-03-25,Tanager,tan,39.8464,-104.7613,137,73,3.9,2026-09-12
tan20260325t190536c19s4001-C,CH4,6A,2026-03-25,Tanager,tan,39.851,-104.7539,409,158,3.9,2026-09-12
tan20251024t184210c47s4001-A,CH4,6A,2025-10-24,Tanager,tan,39.8467,-104.755,,,1.5,2026-09-12
tan20250926t183741c17s4001-C,CH4,6A,2025-09-26,Tanager,tan,39.8483,-104.7541,,,1.1,2026-09-12
tan20250919t183637c66s4001-A,CH4,6A,2025-09-19,Tanager,tan,39.8537,-104.7567,339,105,1.9,2026-09-12
tan20250829t183355c21s4001-B,CH4,6A,2025-08-29,Tanager,tan,39.8501,-104.763,391,109,2.4,2026-09-12
tan20241201t180152c00s4001-B,CH4,6A,2024-12-01,Tanager,tan,39.8538,-104.7603,1222,1053,1.1,2026-09-12
emi20240821t173303p12016-B,CH4,6A,2024-08-21,ISS,emi,39.8546,-104.7592,303,172,1.3,2026-09-12
emi20240817t191121p13025-A,CH4,6A,2024-08-17,ISS,emi,39.8492,-104.7579,1292,335,2.5,2026-09-12
emi20240415t201548p13026-A,CH4,6A,2024-04-15,ISS,emi,39.8571,-104.7581,,,6.9,2026-09-12
GAO20230926t162405p0000-A,CH4,6A,2023-09-26,Global Airborne Observatory,GAO,39.6615,-104.6927,116,26,2.1,2026-09-12
GAO20230926t161905p0000-A,CH4,6A,2023-09-26,Global Airborne Observatory,GAO,39.6616,-104.6927,224,45,2.1,2026-09-12
GAO20230926t161350p0000-A,CH4,6A,2023-09-26,Global Airborne Observatory,GAO,39.8529,-104.7559,309,56,2.3,2026-09-12
GAO20230920t182805p0000-A,CH4,1B2,2023-09-20,Global Airborne Observatory,GAO,39.9356,-104.8043,305,56,2.2,2026-09-12
GAO20230912t163115p0000-A,CH4,1B2,2023-09-12,Global Airborne Observatory,GAO,39.9294,-104.8099,,,1.8,2026-09-12
GAO20230908t162824p0000-A,CH4,6A,2023-09-08,Global Airborne Observatory,GAO,39.663,-104.6898,108,62,2.8,2026-09-12
GAO20230908t162430p0000-A,CH4,6A,2023-09-08,Global Airborne Observatory,GAO,39.8495,-104.7578,192,124,1.5,2026-09-12
GAO20230908t162430p0000-B,CH4,6A,2023-09-08,Global Airborne Observatory,GAO,39.8543,-104.7564,472,253,1.5,2026-09-12
emi20230625t170826p11006-A,CO2,1A1,2023-06-25,ISS,emi,39.8074,-104.9639,237493,126829,4.2,2026-09-12
emi20230606t180224p12017-A,CH4,6A,2023-06-06,ISS,emi,39.8495,-104.7602,,,1.0,2026-09-12
emi20230606t180224p12017-B,CH4,6A,2023-06-06,ISS,emi,39.6613,-104.6869,,,1.3,2026-09-12
emi20230418t200118p13006-A,CH4,6A,2023-04-18,ISS,emi,39.8546,-104.7563,,,4.6,2026-09-12
GAO20210925t165434p0000-A,CH4,1B2,2021-09-25,Global Airborne Observatory,GAO,39.9357,-104.8042,144,47,1.7,2026-09-12
GAO20210722t153405p0000-A,CH4,6A,2021-07-22,Global Airborne Observatory,GAO,39.6615,-104.692,134,28,,2026-09-12
GAO20210722t153023p0000-A,CH4,6A,2021-07-22,Global Airborne Observatory,GAO,39.8512,-104.7573,24,9,,2026-09-12
GAO20210719t154818p0000-A,CH4,6A,2021-07-19,Global Airborne Observatory,GAO,39.6626,-104.6895,121,67,,2026-09-12
GAO20210719t154818p0000-B,CH4,6A,2021-07-19,Global Airborne Observatory,GAO,39.6624,-104.6856,131,73,,2026-09-12
GAO20210719t154431p0000-A,CH4,6A,2021-07-19,Global Airborne Observatory,GAO,39.8524,-104.7556,174,79,,2026-09-12
GAO20210719t154431p0000-B,CH4,6A,2021-07-19,Global Airborne Observatory,GAO,39.8545,-104.7561,63,30,,2026-09-12
GAO20210718t193403p0000-A,CH4,6A,2021-07-18,Global Airborne Observatory,GAO,39.6638,-104.692,32,9,,2026-09-12
GAO20210718t193403p0000-B,CH4,6A,2021-07-18,Global Airborne Observatory,GAO,39.6625,-104.6925,71,20,,2026-09-12
