"flight","date","c2h6_ch4_slope","ratio_pct","r","fossil_frac","ch4_bg_med","ch4_enh_max","n_legs_total","n_legs_used","leg_ids_used","background_ppb","blh_m","blh_src","wind_src","flux_kg_hr","flux_t_hr"
"AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict","2024-06-28",0.0344,3.44,0.134,0.31,1946.3,129.3,3,3,"1;2;3",1944.9,2000,"default","aircraft",119.1,0.119
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict","2024-06-29",0.0104,1.04,0.371,0.09,1951.6,465.2,14,14,"1;2;3;4;5;6;7;8;9;10;11;12;13;14",1949.8,2000,"default","aircraft",1286.4,1.286
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict","2024-06-29",0.0129,1.29,0.259,0.12,1993.2,256.7,10,10,"1;2;3;4;5;6;7;8;9;10",1988.2,2000,"default","aircraft",1972.3,1.972
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L1.ict","2024-07-02",0.0117,1.17,0.115,0.11,1976.8,101.2,1,1,"7",1976,2377,"config","aircraft",826.2,0.826
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict","2024-07-02",0.0283,2.83,0.183,0.26,1981.6,93.4,3,3,"1;2;3",1980.2,2902,"config","aircraft",547.7,0.548
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L1.ict","2024-07-03",0.0354,3.54,0.732,0.32,1977.4,132.5,28,28,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28",1960.5,2727,"config","aircraft",5464.6,5.465
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L2.ict","2024-07-03",-6e-04,-0.06,-0.048,0,1967.1,463.1,6,6,"1;2;3;4;5;6",1955.4,3352,"config","aircraft",3935.1,3.935
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L1.ict","2024-07-04",0.007,0.7,0.187,0.06,2000,243.7,10,10,"1;2;3;4;5;6;7;8;9;10",1984.5,2602,"config","aircraft",641.6,0.642
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L2.ict","2024-07-04",0.0238,2.38,0.432,0.22,2000.4,95.7,17,17,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17",1987.4,2952,"config","aircraft",1107.3,1.107
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L1.ict","2024-07-05",-0.0037,-0.37,-0.089,0,1985.6,89.1,24,24,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24",1979.2,2477,"config","aircraft",1231.4,1.231
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L2.ict","2024-07-05",-4e-04,-0.04,-0.04,0,1987.6,1522.7,19,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19",1973.6,4752,"config","aircraft",1005.3,1.005
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L1.ict","2024-07-08",0.0131,1.31,0.27,0.12,1976.2,500.4,19,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19",1958.7,1602,"config","aircraft",488.9,0.489
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L2.ict","2024-07-08",3e-04,0.03,0.018,0,1990.6,785,12,12,"1;2;3;4;5;6;7;8;9;10;11;12",1991.8,1852,"config","aircraft",357,0.357
"AMMBEC-ARL-Suite_TwinOtter_20240709_R0.ict","2024-07-09",0.0145,1.45,0.492,0.13,1976.1,267.5,15,15,"1;2;3;4;5;6;7;8;9;10;11;13;14;15;16",1964.9,3302,"config","aircraft",918.4,0.918
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L1.ict","2024-07-10",0.0573,5.73,0.76,0.52,1968,1422.6,18,18,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18",1960.4,902,"config","aircraft",403.2,0.403
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L2.ict","2024-07-10",0.05,5,0.72,0.45,1974.3,706.3,4,4,"1;2;3;4",1977.1,3252,"config","aircraft",537.1,0.537
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L1.ict","2024-07-11",0.0094,0.94,0.206,0.09,1958.7,1530.7,16,16,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16",1956.6,852,"config","aircraft",695.6,0.696
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L2.ict","2024-07-11",0.0012,0.12,0.021,0.01,1964.1,192.5,19,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19",1960.6,3802,"config","aircraft",735.1,0.735
