"flight","date","axis","offset_km_from_box_center","n_legs","n_alt_levels","lowest_agl_m","highest_agl_m","blh_m","blh_src","span_km","width_frac","wd_from","wind_ms","U_perp_ms","constancy","city_upwind","width_ok","vertical_ok","wind_ok","conditions_met","usable","flux_t_hr","fails"
"20240705_R0_L1","2024-07-05","EW",-27.8,4,1,1070,1151,2377,"lidar",49.9,0.9,10,3.7,3.2,0.85,TRUE,TRUE,FALSE,TRUE,3,FALSE,NA,"only 1 altitude level(s) in the stack; lowest leg 1070 m AGL, too high to constrain the surface layer; highest leg 1151 m AGL is below the 2377 m mixing height"
"20240710_R0_L1","2024-07-10","NS",41.9,5,3,371,2503,902,"lidar",42.2,0.84,355,2.4,0.8,0.91,TRUE,TRUE,TRUE,FALSE,3,FALSE,NA,"only 0.8 m/s of wind through the wall"
"20240705_R0_L1","2024-07-05","NS",41.9,4,3,355,2397,2377,"lidar",52.9,1.06,40,3.7,2.3,0.97,FALSE,TRUE,TRUE,FALSE,2,FALSE,NA,"city not entirely upwind of the wall; only 2.3 m/s of wind through the wall"
"20240705_R0_L1","2024-07-05","NS",-9.5,4,1,2295,2383,2377,"lidar",41.2,0.82,298,10.3,9,1,FALSE,TRUE,FALSE,TRUE,2,FALSE,NA,"city not entirely upwind of the wall; only 1 altitude level(s) in the stack; lowest leg 2295 m AGL, too high to constrain the surface layer"
"20240709_R0","2024-07-09","NS",41.9,4,3,471,2472,3102,"lidar",62.7,1.25,348,4.1,1.1,0.96,TRUE,TRUE,FALSE,FALSE,2,FALSE,NA,"lowest leg 471 m AGL, too high to constrain the surface layer; highest leg 2472 m AGL is below the 3102 m mixing height; only 1.1 m/s of wind through the wall"
"20240713_R0_L1","2024-07-13","NS",-9.5,8,3,244,2392,352,"lidar",44.3,0.88,54,3.2,2.3,0.93,FALSE,TRUE,TRUE,FALSE,2,FALSE,NA,"city not entirely upwind of the wall; only 2.3 m/s of wind through the wall"
"20240713_R0_L1","2024-07-13","NS",-18.7,3,1,355,444,352,"lidar",44.4,0.89,59,3.4,3.1,0.94,FALSE,TRUE,FALSE,TRUE,2,FALSE,NA,"city not entirely upwind of the wall; only 1 altitude level(s) in the stack"
"20240713_R0_L2","2024-07-13","NS",-14.4,9,4,255,2460,1752,"lidar",55.1,1.1,75,3.4,2.6,0.86,FALSE,TRUE,TRUE,FALSE,2,FALSE,NA,"city not entirely upwind of the wall; only 2.6 m/s of wind through the wall"
"20240703_R0_L1","2024-07-03","NS",-9.4,14,5,237,2397,2702,"lidar",75.3,1.5,101,2.5,2,0.69,FALSE,TRUE,FALSE,FALSE,1,FALSE,NA,"city not entirely upwind of the wall; highest leg 2397 m AGL is below the 2702 m mixing height; only 2.0 m/s of wind through the wall; wind direction unsteady, constancy 0.69"
"20240703_R0_L2","2024-07-03","NS",-9.8,2,2,2236,2398,3352,"lidar",19.8,0.4,275,11.5,11.3,0.99,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 40% of the city width; only 2 altitude level(s) in the stack; lowest leg 2236 m AGL, too high to constrain the surface layer; highest leg 2398 m AGL is below the 3352 m mixing height"
"20240703_R0_L2","2024-07-03","NS",-25.3,2,1,303,328,3352,"lidar",5.1,0.1,294,9.7,7.1,0.98,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 10% of the city width; only 1 altitude level(s) in the stack; highest leg 328 m AGL is below the 3352 m mixing height"
"20240708_R0_L1","2024-07-08","NS",41.9,3,2,1566,1738,1602,"lidar",24.7,0.49,208,4.1,2.1,0.9,TRUE,FALSE,FALSE,FALSE,1,FALSE,NA,"wall spans 49% of the city width; only 2 altitude level(s) in the stack; lowest leg 1566 m AGL, too high to constrain the surface layer; only 2.1 m/s of wind through the wall"
"20240708_R0_L1","2024-07-08","NS",-9.5,4,1,2312,2392,1602,"lidar",38.2,0.76,315,8.3,5.8,1,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 76% of the city width; only 1 altitude level(s) in the stack; lowest leg 2312 m AGL, too high to constrain the surface layer"
"20240708_R0_L1","2024-07-08","NS",-32.3,2,1,2294,2322,1602,"lidar",6.6,0.13,271,8.8,8.8,1,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 13% of the city width; only 1 altitude level(s) in the stack; lowest leg 2294 m AGL, too high to constrain the surface layer"
"20240708_R0_L2","2024-07-08","NS",-33.1,2,2,169,335,1852,"lidar",11.8,0.24,75,2.4,2.2,0.93,TRUE,FALSE,FALSE,FALSE,1,FALSE,NA,"wall spans 24% of the city width; only 2 altitude level(s) in the stack; highest leg 335 m AGL is below the 1852 m mixing height; only 2.2 m/s of wind through the wall"
"20240709_R0","2024-07-09","NS",-9.2,5,3,383,2435,3102,"lidar",54.5,1.09,7,3.8,1,0.97,FALSE,TRUE,FALSE,FALSE,1,FALSE,NA,"city not entirely upwind of the wall; highest leg 2435 m AGL is below the 3102 m mixing height; only 1.0 m/s of wind through the wall"
"20240712_R0_L1","2024-07-12","NS",-9.2,4,2,467,2466,2752,"lidar",27.6,0.55,10,8.3,7.3,0.89,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 55% of the city width; only 2 altitude level(s) in the stack; lowest leg 467 m AGL, too high to constrain the surface layer; highest leg 2466 m AGL is below the 2752 m mixing height"
"20240712_R0_L2","2024-07-12","NS",-18.6,2,1,328,426,4152,"lidar",12.6,0.25,46,4.8,3.8,0.9,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 25% of the city width; only 1 altitude level(s) in the stack; highest leg 426 m AGL is below the 4152 m mixing height"
"20240713_R0_L2","2024-07-13","NS",43.9,5,2,309,2432,1752,"lidar",32.2,0.64,35,6.7,4.6,0.97,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,"city not entirely upwind of the wall; wall spans 64% of the city width; only 2 altitude level(s) in the stack"
"20240629_R0_L1","2024-06-29","NS",-32.5,5,2,844,1051,2000,"default",27.1,0.54,215,2.5,1.8,0.66,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,"city not entirely upwind of the wall; wall spans 54% of the city width; only 2 altitude level(s) in the stack; lowest leg 844 m AGL, too high to constrain the surface layer; highest leg 1051 m AGL is below the 2000 m mixing height; only 1.8 m/s of wind through the wall; wind direction unsteady, constancy 0.66"
"20240703_R0_L1","2024-07-03","NS",-33,2,1,1601,1604,2702,"lidar",0.1,0,265,11,1.2,0.99,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,"city not entirely upwind of the wall; wall spans 0% of the city width; only 1 altitude level(s) in the stack; lowest leg 1601 m AGL, too high to constrain the surface layer; highest leg 1604 m AGL is below the 2702 m mixing height; only 1.2 m/s of wind through the wall"
"20240705_R0_L2","2024-07-05","NS",-32.1,4,2,2139,2341,4752,"lidar",10.9,0.22,274,11.2,1.3,0.99,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,"city not entirely upwind of the wall; wall spans 22% of the city width; only 2 altitude level(s) in the stack; lowest leg 2139 m AGL, too high to constrain the surface layer; highest leg 2341 m AGL is below the 4752 m mixing height; only 1.3 m/s of wind through the wall"
