"flight","date","n_candidate_screens","best_conditions_met","usable","note"
"20240628_R0","2024-06-28",0,NA,FALSE,"no north-south or east-west legs near the city"
"20240629_R0_L1","2024-06-29",1,0,FALSE,"city not entirely upwind of the wall; wall spans 54% of the city width; only 2 altitude level(s) in the stack; lowest leg 844 m AGL, too high to constrain the surface layer; highest leg 1051 m AGL is below the 2000 m mixing height; only 1.8 m/s of wind through the wall; wind direction unsteady, constancy 0.66"
"20240629_R0_L2","2024-06-29",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240702_R0_L1","2024-07-02",0,NA,FALSE,"no north-south or east-west legs near the city"
"20240702_R0_L2","2024-07-02",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240703_R0_L1","2024-07-03",2,1,FALSE,"city not entirely upwind of the wall; highest leg 2397 m AGL is below the 2702 m mixing height; only 2.0 m/s of wind through the wall; wind direction unsteady, constancy 0.69"
"20240703_R0_L2","2024-07-03",2,1,FALSE,"city not entirely upwind of the wall; wall spans 40% of the city width; only 2 altitude level(s) in the stack; lowest leg 2236 m AGL, too high to constrain the surface layer; highest leg 2398 m AGL is below the 3352 m mixing height"
"20240704_R0_L1","2024-07-04",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240704_R0_L2","2024-07-04",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240705_R0_L1","2024-07-05",3,3,FALSE,"only 1 altitude level(s) in the stack; lowest leg 1070 m AGL, too high to constrain the surface layer; highest leg 1151 m AGL is below the 2377 m mixing height"
"20240705_R0_L2","2024-07-05",1,0,FALSE,"city not entirely upwind of the wall; wall spans 22% of the city width; only 2 altitude level(s) in the stack; lowest leg 2139 m AGL, too high to constrain the surface layer; highest leg 2341 m AGL is below the 4752 m mixing height; only 1.3 m/s of wind through the wall"
"20240708_R0_L1","2024-07-08",3,1,FALSE,"wall spans 49% of the city width; only 2 altitude level(s) in the stack; lowest leg 1566 m AGL, too high to constrain the surface layer; only 2.1 m/s of wind through the wall"
"20240708_R0_L2","2024-07-08",2,1,FALSE,"wall spans 24% of the city width; only 2 altitude level(s) in the stack; highest leg 335 m AGL is below the 1852 m mixing height; only 2.2 m/s of wind through the wall"
"20240709_R0","2024-07-09",2,2,FALSE,"lowest leg 471 m AGL, too high to constrain the surface layer; highest leg 2472 m AGL is below the 3102 m mixing height; only 1.1 m/s of wind through the wall"
"20240710_R0_L1","2024-07-10",2,3,FALSE,"only 0.8 m/s of wind through the wall"
"20240710_R0_L2","2024-07-10",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240711_R0_L1","2024-07-11",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240711_R0_L2","2024-07-11",0,NA,FALSE,"no wall of two or more aligned legs near the city"
"20240712_R0_L1","2024-07-12",1,1,FALSE,"city not entirely upwind of the wall; wall spans 55% of the city width; only 2 altitude level(s) in the stack; lowest leg 467 m AGL, too high to constrain the surface layer; highest leg 2466 m AGL is below the 2752 m mixing height"
"20240712_R0_L2","2024-07-12",1,1,FALSE,"city not entirely upwind of the wall; wall spans 25% of the city width; only 1 altitude level(s) in the stack; highest leg 426 m AGL is below the 4152 m mixing height"
"20240713_R0_L1","2024-07-13",2,2,FALSE,"city not entirely upwind of the wall; only 2.3 m/s of wind through the wall"
"20240713_R0_L2","2024-07-13",2,2,FALSE,"city not entirely upwind of the wall; only 2.6 m/s of wind through the wall"
