"flight","CH4CO_GRA2PES_t_hr","CH4CO_GRA2PES_lo","CH4CO_GRA2PES_hi","CH4CO2_Vulcan_t_hr","CH4CO2_Vulcan_lo","CH4CO2_Vulcan_hi","CH4CO_NEI_t_hr"
"20240703_R0_L1",4.61,1.59,5.56,4.08,-0.5,4.46,11.1
"20240703_R0_L2",NA,NA,NA,NA,NA,NA,NA
"20240705_R0_L1",NA,NA,NA,NA,NA,NA,NA
"20240708_R0_L1",8.31,0.08,10.09,NA,NA,NA,19.9
"20240708_R0_L2",NA,NA,NA,NA,NA,NA,NA
"20240709_R0",6.9,3.77,7.11,NA,NA,NA,16.6
"20240710_R0_L1",NA,NA,NA,NA,NA,NA,NA
"20240710_R0_L2",NA,NA,NA,NA,NA,NA,NA
"20240712_R0_L1",NA,NA,NA,NA,NA,NA,NA
"20240713_R0_L1",10.71,5.94,12.24,NA,NA,NA,25.7
"20240713_R0_L2",NA,NA,NA,NA,NA,NA,NA
