"flight","date","region","gate_ppb","n_points","n_legs","slope","fossil_pct","lo_pct","hi_pct"
"20240703_R0_L1","2024-07-03","urban",5,640,8,0.03686,36.1,NA,NA
"20240703_R0_L1","2024-07-03","urban",10,392,5,0.04013,39.3,6.1,50.7
"20240703_R0_L1","2024-07-03","urban",15,216,5,0.03941,38.6,NA,NA
"20240703_R0_L1","2024-07-03","urban",20,160,3,0.02123,20.8,19.5,49.6
"20240703_R0_L1","2024-07-03","urban",25,156,2,0.01937,19,NA,NA
"20240703_R0_L1","2024-07-03","urban",30,151,2,0.01548,15.2,NA,NA
"20240703_R0_L1","2024-07-03","urban",40,119,2,0.01072,10.5,NA,NA
"20240703_R0_L1","2024-07-03","urban",50,78,2,0.02432,23.8,10.8,53.4
"20240703_R0_L1","2024-07-03","urban",75,3,1,NA,NA,NA,NA
"20240703_R0_L1","2024-07-03","urban",100,0,0,NA,NA,NA,NA
"20240703_R0_L2","2024-07-03","urban",5,196,4,0.02758,27,NA,NA
"20240703_R0_L2","2024-07-03","urban",10,143,4,0.03115,30.5,6.8,33.3
"20240703_R0_L2","2024-07-03","urban",15,92,3,0.02952,28.9,NA,NA
"20240703_R0_L2","2024-07-03","urban",20,45,2,0.02472,24.2,20.1,24.2
"20240703_R0_L2","2024-07-03","urban",25,24,1,0.03421,33.5,NA,NA
"20240703_R0_L2","2024-07-03","urban",30,7,1,NA,NA,NA,NA
"20240703_R0_L2","2024-07-03","urban",40,0,0,NA,NA,NA,NA
"20240703_R0_L2","2024-07-03","urban",50,0,0,NA,NA,NA,NA
"20240703_R0_L2","2024-07-03","urban",75,0,0,NA,NA,NA,NA
"20240703_R0_L2","2024-07-03","urban",100,0,0,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",5,210,5,0.01959,19.2,NA,NA
"20240705_R0_L1","2024-07-05","urban",10,59,1,-0.00294,0,0,0
"20240705_R0_L1","2024-07-05","urban",15,7,1,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",20,7,1,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",25,7,1,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",30,7,1,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",40,5,1,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",50,3,1,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",75,0,0,NA,NA,NA,NA
"20240705_R0_L1","2024-07-05","urban",100,0,0,NA,NA,NA,NA
"20240708_R0_L1","2024-07-08","urban",5,150,4,0.00468,4.6,NA,NA
"20240708_R0_L1","2024-07-08","urban",10,121,2,-0.02855,0,0,2.4
"20240708_R0_L1","2024-07-08","urban",15,121,2,-0.02855,0,NA,NA
"20240708_R0_L1","2024-07-08","urban",20,121,2,-0.02855,0,0,2.4
"20240708_R0_L1","2024-07-08","urban",25,119,2,-0.03184,0,NA,NA
"20240708_R0_L1","2024-07-08","urban",30,89,2,-0.04363,0,NA,NA
"20240708_R0_L1","2024-07-08","urban",40,38,1,-0.00441,0,NA,NA
"20240708_R0_L1","2024-07-08","urban",50,7,1,NA,NA,NA,NA
"20240708_R0_L1","2024-07-08","urban",75,0,0,NA,NA,NA,NA
"20240708_R0_L1","2024-07-08","urban",100,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",5,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",10,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",15,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",20,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",25,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",30,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",40,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",50,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",75,0,0,NA,NA,NA,NA
"20240708_R0_L2","2024-07-08","urban",100,0,0,NA,NA,NA,NA
"20240709_R0","2024-07-09","urban",5,144,3,0.04158,40.8,NA,NA
"20240709_R0","2024-07-09","urban",10,113,3,0.0414,40.6,0,41.1
"20240709_R0","2024-07-09","urban",15,93,2,0.04187,41,NA,NA
"20240709_R0","2024-07-09","urban",20,84,2,0.04248,41.6,40.1,43.4
"20240709_R0","2024-07-09","urban",25,69,2,0.04207,41.2,NA,NA
"20240709_R0","2024-07-09","urban",30,60,2,0.03978,39,NA,NA
"20240709_R0","2024-07-09","urban",40,49,1,0.0329,32.3,NA,NA
"20240709_R0","2024-07-09","urban",50,46,1,0.03206,31.4,31.4,31.4
"20240709_R0","2024-07-09","urban",75,29,1,0.01984,19.4,NA,NA
"20240709_R0","2024-07-09","urban",100,4,1,NA,NA,NA,NA
"20240710_R0_L1","2024-07-10","urban",5,515,6,0.00965,9.5,NA,NA
"20240710_R0_L1","2024-07-10","urban",10,339,5,0.00042,0.4,0,49.6
"20240710_R0_L1","2024-07-10","urban",15,272,5,-0.00441,0,NA,NA
"20240710_R0_L1","2024-07-10","urban",20,185,3,-0.01289,0,0,35.3
"20240710_R0_L1","2024-07-10","urban",25,165,3,-0.01939,0,NA,NA
"20240710_R0_L1","2024-07-10","urban",30,159,3,-0.01783,0,NA,NA
"20240710_R0_L1","2024-07-10","urban",40,103,2,-0.011,0,NA,NA
"20240710_R0_L1","2024-07-10","urban",50,76,2,-0.01008,0,0,100
"20240710_R0_L1","2024-07-10","urban",75,9,1,NA,NA,NA,NA
"20240710_R0_L1","2024-07-10","urban",100,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",5,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",10,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",15,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",20,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",25,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",30,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",40,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",50,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",75,0,0,NA,NA,NA,NA
"20240710_R0_L2","2024-07-10","urban",100,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",5,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",10,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",15,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",20,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",25,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",30,0,0,NA,NA,NA,NA
"20240712_R0_L1","2024-07-12","urban",40,0,0,NA,NA,NA,NA
