"flight","leg_id","n_gated","agl_m","dC2H6_median_ppb","ols_slope","york_slope","r","fossil_pct_if_alone","wholeflight_york"
"20240710_R0_L1",1,17,427,1.38,0.0308,0.0346,0.42,34,-0.0129
"20240710_R0_L1",3,116,235,0.9,5e-04,5e-04,0.04,0,-0.0129
"20240710_R0_L1",16,52,445,2.18,0.0221,0.0228,0.53,22,-0.0129
"20240713_R0_L2",11,42,2461,1.5,0.057,0.0888,0.41,87,0.0578
"20240713_R0_L2",12,63,2454,1.62,0.0455,0.0467,0.8,46,0.0578
"20240713_R0_L2",13,28,2286,0.8,0.1601,0.2413,0.7,100,0.0578
"20240713_R0_L2",14,7,2385,0.91,NA,NA,NA,NA,0.0578
"20240713_R0_L2",15,91,393,1.28,0.0443,0.0452,0.83,44,0.0578
"20240713_R0_L2",17,3,400,0.29,NA,NA,NA,NA,0.0578
"20240708_R0_L1",1,71,543,0.43,0.0024,0.0024,0.1,2,-0.0285
"20240708_R0_L1",2,50,230,1.23,-0.0267,-0.0929,-0.15,0,-0.0285
