"file","date","n","n_plume","ch4_bg_med","ch4_enh_max","wholeflight_c2h6_ch4_slope","ratio_pct","r","n_fit","wholeflight_fossil_frac_diag"
"AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict","2024-06-28",7261,3498,1946.3,129.3,0.0344,3.44,0.134,1096,0.31
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict","2024-06-29",10021,4563,1951.6,465.2,0.0104,1.04,0.371,841,0.09
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict","2024-06-29",9361,4314,1993.2,256.7,0.0129,1.29,0.259,1042,0.12
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L1.ict","2024-07-02",7201,3061,1976.8,101.2,0.0117,1.17,0.115,496,0.11
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict","2024-07-02",12361,5642,1981.6,93.4,0.0283,2.83,0.183,84,0.26
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L1.ict","2024-07-03",11881,5507,1977.4,132.5,0.0354,3.54,0.732,2425,0.32
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L2.ict","2024-07-03",8401,3759,1967.1,463.1,-6e-04,-0.06,-0.048,695,0
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L1.ict","2024-07-04",10861,4776,2000,243.7,0.007,0.7,0.187,2171,0.06
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L2.ict","2024-07-04",11881,5504,2000.4,95.7,0.0238,2.38,0.432,1346,0.22
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L1.ict","2024-07-05",12901,6093,1985.6,89.1,-0.0037,-0.37,-0.089,557,0
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L2.ict","2024-07-05",11701,5269,1987.6,1522.7,-4e-04,-0.04,-0.04,994,0
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L1.ict","2024-07-08",12541,5759,1976.2,500.4,0.0131,1.31,0.27,1801,0.12
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L2.ict","2024-07-08",11881,5334,1990.6,785,3e-04,0.03,0.018,1785,0
"AMMBEC-ARL-Suite_TwinOtter_20240709_R0.ict","2024-07-09",11761,5128,1976.1,267.5,0.0145,1.45,0.492,2504,0.13
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L1.ict","2024-07-10",10741,4413,1968,1422.6,0.0573,5.73,0.76,1105,0.52
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L2.ict","2024-07-10",11281,5227,1974.3,706.3,0.05,5,0.72,468,0.45
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L1.ict","2024-07-11",10141,4970,1958.7,1530.7,0.0094,0.94,0.206,4364,0.09
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L2.ict","2024-07-11",10801,4746,1964.1,192.5,0.0012,0.12,0.021,901,0.01
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L1.ict","2024-07-12",7861,3318,1934.3,271.4,0.1,10,0.823,346,0.91
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L2.ict","2024-07-12",10741,4609,1952.8,348.5,-0.0026,-0.26,-0.184,616,0
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L1.ict","2024-07-13",11581,5630,1960.5,1121.5,7e-04,0.07,0.072,4582,0.01
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L2.ict","2024-07-13",10501,4771,1964.3,88.2,0.049,4.9,0.757,1430,0.45
