"sector","v1_t_hr","v2_t_hr","change"
"WASTE",0,12.1966973597864,12.1966973597864
"OG",1.169602418305,3.67003612034593,2.50043370204093
"AG",0.122141015542631,0.259987641598892,0.137846626056261
"RES",0.023574514330783,0.171508484200018,0.147933969869235
"INDF",0.0774540862955178,0.0774540862955178,0
"INDP",0.0616316247955243,0.0616316247955243,0
"OFFROAD",0.038435922986665,0.038435922986665,0
"EGU",0.0169695456757281,0.0169695456757281,0
"VCP",0.0151436914734607,0.0151436914734607,0
"COMM",0.00909481752754722,0.00088484307375784,-0.00820997445378938
"AG_DUST",0,0,0
"AVIATION",0,0,0
"COALBED",0,0,0
"COOKING",0,0,0
"FUG",0,0,0
"INTERNATIONAL",0.129301689978426,0,-0.129301689978426
"ONROAD_DSL",0,0,0
"ONROAD_GAS",0.0305847477243708,0,-0.0305847477243708
"RAIL",0,0,0
"SHIPPING",0,0,0
