"sector","t_hr","group"
"1B2b_Natural_Gas_Distribution",0.6133,"fossil"
"5A1_Landfills_MSW",0.4148,"biogenic"
"Supp_1B2b_PostMeter",0.378,"fossil"
"5D_Wastewater_Treatment_Domestic",0.3306,"biogenic"
"1B2b_Natural_Gas_Processing",0.2217,"fossil"
"1A_Combustion_Stationary",0.1854,"combustion"
"5A1_Landfills_Industrial",0.1085,"biogenic"
"1B2b_Natural_Gas_TransmissionStorage",0.1045,"fossil"
"3A_Enteric_Fermentation",0.0835,"biogenic"
"1B2a_Petroleum_Systems_Production",0.0535,"fossil"
"1A_Combustion_Mobile",0.039,"combustion"
"1B2a_Petroleum_Systems_Refining",0.0271,"fossil"
"1B2b_Natural_Gas_Production",0.0195,"fossil"
"3B_Manure_Management",0.0172,"biogenic"
"5B1_Composting",0.0128,"biogenic"
"1B2ab_Abandoned_Oil_Gas",0.0032,"fossil"
"1B2a_Petroleum_Systems_Exploration",0.0031,"fossil"
"1B2a_Petroleum_Systems_Transport",0.0031,"fossil"
"5D_Wastewater_Treatment_Industrial",4e-04,"biogenic"
"3F_Field_Burning",1e-04,"biogenic"
"1B1a_Abandoned_Coal",0,"fossil"
"1B1a_Surface_Coal",0,"fossil"
"1B1a_Underground_Coal",0,"fossil"
"1B2b_Natural_Gas_Exploration",0,"fossil"
"2B8_Industry_Petrochemical",0,"other"
"2C2_Industry_Ferroalloy",0,"other"
"3C_Rice_Cultivation",0,"biogenic"
