"file","date","n","t_start","t_end","has_CH4","has_C2H6","lat_min","lat_max","lon_min","lon_max"
"AMMBEC-AircraftData_TwinOtter_20240628_R0.ict","2024-06-28",7261,"17:21:00","19:22:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240629_R0_L1.ict","2024-06-29",10021,"16:21:00","19:08:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240629_R0_L2.ict","2024-06-29",9361,"21:13:00","23:49:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240702_R0_L2.ict","2024-07-02",12361,"20:15:00","23:41:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240702_R1_L1.ict","2024-07-02",7151,"16:38:50","18:38:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240703_R0_L1.ict","2024-07-03",11881,"16:16:00","19:34:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240703_R0_L2.ict","2024-07-03",8401,"21:40:00","00:00:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240704_R0_L1.ict","2024-07-04",10861,"16:19:00","19:20:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240704_R0_L2.ict","2024-07-04",11881,"20:53:00","00:11:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240705_R0_L1.ict","2024-07-05",12901,"16:15:00","19:50:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240705_R0_L2.ict","2024-07-05",11701,"21:33:00","00:48:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240706_R0.ict","2024-07-06",4021,"20:03:00","21:10:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240708_R0_L1.ict","2024-07-08",12541,"16:52:00","20:21:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240708_R0_L2.ict","2024-07-08",11881,"22:36:00","01:54:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240709_R0.ict","2024-07-09",11761,"17:19:00","20:35:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240710_R0_L1.ict","2024-07-10",10741,"16:01:00","19:00:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240710_R0_L2.ict","2024-07-10",11281,"20:33:00","23:41:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240711_R0_L1.ict","2024-07-11",10141,"15:57:00","18:46:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240711_R0_L2.ict","2024-07-11",10801,"20:31:00","23:31:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240712_R0_L1.ict","2024-07-12",7861,"16:29:00","18:40:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240712_R0_L2.ict","2024-07-12",10741,"20:36:00","23:35:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240713_R0_L1.ict","2024-07-13",11581,"15:36:00","18:49:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AircraftData_TwinOtter_20240713_R0_L2.ict","2024-07-13",10501,"20:24:00","23:19:00",FALSE,FALSE,NA,NA,NA,NA
"AMMBEC-AMAX-DOAS-NadirNO2_TwinOtter_20240628_R0.ict","2024-06-28",2127,"17:30:54","19:07:38",FALSE,FALSE,40.078,40.53,-105.224,-104.274
