"file","quarter","site","date","n","t_start","t_end","ch4_med","ch4_max","lat_min","lat_max","lon_min","lon_max"
"20230216_HEPTerminal_CAT_Methane.csv","2023 Q1 - January, February, March","HEPTerminal","2023-02-16",16174,"17:07:07","21:58:08",2.024,3.338,39.731,39.915,-105.174,-104.823
"20230224_SuncorP66_CAT_Methane.csv","2023 Q1 - January, February, March","SuncorP66","2023-02-24",16634,"17:15:18","22:18:02",2.265,4.737,39.743,39.871,-105.062,-104.877
"20230301_SuncorP66_CAT_Methane.csv","2023 Q1 - January, February, March","SuncorP66","2023-03-01",12862,"17:56:58","22:27:30",2.144,6.932,39.743,39.831,-104.988,-104.922
"20230308_HEPTerminal_CAT_Methane.csv","2023 Q1 - January, February, March","HEPTerminal","2023-03-08",17206,"17:22:07","22:39:38",2.051,2.431,39.74,39.915,-104.957,-104.805
"20230309_SuncorP66_CAT_Methane.csv","2023 Q1 - January, February, March","SuncorP66","2023-03-09",16770,"17:53:20","22:47:29",1.991,5.665,39.74,39.83,-104.988,-104.807
"20230313_SuncorP66_CAT_Methane.csv","2023 Q1 - January, February, March","SuncorP66","2023-03-13",18152,"16:29:28","21:34:02",2.055,4.981,39.743,39.847,-104.988,-104.81
"20230315_HEPTerminal_CAT_Methane.csv","2023 Q1 - January, February, March","HEPTerminal","2023-03-15",15675,"16:25:27","20:54:40",1.964,3.187,39.77,39.914,-104.94,-104.81
"20230321_HEPTerminal_CAT_Methane.csv","2023 Q1 - January, February, March","HEPTerminal","2023-03-21",16685,"15:49:57","20:35:14",1.997,3.165,39.745,39.914,-104.957,-104.807
"20230322_SuncorP66_CAT_Methane.csv","2023 Q1 - January, February, March","SuncorP66","2023-03-22",8466,"16:26:09","21:17:01",2.079,3.036,39.745,39.847,-104.988,-104.807
"20230323_HEPTerminal_CAT_Methane.csv","2023 Q1 - January, February, March","HEPTerminal","2023-03-23",11399,"17:14:20","20:27:11",2.09,2.497,39.837,39.914,-104.94,-104.823
"20230420_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-04-20",7196,"16:18:02","20:18:38",2.001,3.92,39.743,39.847,-104.988,-104.877
"20230424_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-04-24",7987,"15:55:27","20:35:55",2.018,2.483,39.745,39.914,-104.968,-104.807
"20230426_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-04-26",8029,"16:09:27","21:09:58",2.067,5.375,39.743,39.834,-104.988,-104.83
"20230427_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-04-27",6345,"16:32:02","20:30:11",1.98,2.726,39.796,39.914,-104.955,-104.823
"20230503_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-05-03",8091,"16:03:10","22:15:56",1.971,3.146,39.745,39.914,-104.968,-104.807
"20230504_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-05-04",6583,"16:13:56","19:55:50",1.991,7.524,39.743,39.834,-104.988,-104.807
"20230508_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-05-08",8049,"15:05:28","19:46:15",1.982,2.375,38.217,39.655,-104.906,-104.458
"20230509_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-05-09",9253,"15:39:18","21:22:45",1.984,2.786,38.217,39.74,-104.905,-104.458
"20230515_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-05-15",7411,"16:05:49","20:28:21",2.103,2.748,39.74,39.834,-104.987,-104.877
"20230516_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-05-16",8613,"16:10:31","21:13:47",2,2.263,39.787,39.914,-104.94,-104.823
"20230517_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-05-17",6893,"16:28:02","20:34:19",2.039,2.625,39.743,39.834,-104.988,-104.877
"20230522_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-05-22",8262,"15:38:32","20:21:11",2.005,2.725,38.227,39.674,-104.906,-104.458
"20230523_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-05-23",7129,"15:37:58","20:00:23",2.015,3.309,38.217,39.73,-104.905,-104.458
"20230530_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-05-30",7169,"16:11:30","20:13:52",2.026,3.041,39.743,39.834,-104.988,-104.811
"20230531_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-05-31",8398,"15:58:22","20:41:42",2.027,3.471,39.771,39.914,-104.95,-104.81
"20230607_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-06-07",8805,"15:47:10","20:55:25",1.986,2.529,38.218,39.717,-104.907,-104.458
"20230608_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-06-08",9079,"15:49:41","20:55:33",1.959,2.751,38.217,39.74,-104.905,-104.458
"20230614_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-06-14",9618,"15:59:39","21:42:45",2.016,2.324,39.743,39.834,-105.006,-104.834
"20230615_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-06-15",8997,"15:14:24","20:17:22",2.092,3.809,39.77,39.914,-104.95,-104.81
"20230616_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-06-16",11582,"14:53:04","21:23:05",2.077,4.428,39.739,39.914,-104.941,-104.807
"20230621_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-06-21",6594,"15:45:02","19:26:53",2.142,3.415,39.828,39.914,-104.941,-104.823
"20230622_SuncorP66_CAT_Methane.csv","2023 Q2 - April, May, June","SuncorP66","2023-06-22",5774,"16:23:33","20:05:23",1.968,2.174,39.743,39.834,-105.007,-104.877
"20230623_HEPTerminal_CAT_Methane.csv","2023 Q2 - April, May, June","HEPTerminal","2023-06-23",6414,"17:25:31","21:03:03",2.116,3.042,39.745,39.896,-104.924,-104.807
"20230626_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-06-26",8713,"16:08:33","21:03:37",1.998,3.427,38.218,39.406,-104.898,-104.458
"20230627_CollinsAerospace_CAT_Methane.csv","2023 Q2 - April, May, June","CollinsAerospace","2023-06-27",7493,"15:54:58","20:38:11",1.93,3.511,38.217,39.076,-104.859,-104.492
"20230711_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-07-11",5978,"16:18:49","20:12:37",1.949,2.457,39.743,39.834,-105.007,-104.877
"20230712_HEPTerminal_CAT_Methane.csv","2023 Q3 - July, August, September","HEPTerminal","2023-07-12",8323,"16:24:51","21:44:36",2.015,2.427,39.772,39.914,-104.95,-104.823
"20230713_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-07-13",7776,"16:40:27","21:11:18",1.999,2.878,39.743,39.834,-105.006,-104.877
"20230717_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-07-17",5663,"16:03:10","19:15:02",1.977,2.522,39.744,39.82,-105.006,-104.877
"20230718_HEPTerminal_CAT_Methane.csv","2023 Q3 - July, August, September","HEPTerminal","2023-07-18",6535,"16:36:00","21:21:49",1.941,2.865,39.744,39.914,-104.94,-104.807
"20230720_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-07-20",7780,"16:01:31","20:42:39",2.03,3.414,39.743,39.827,-105.008,-104.81
"20230721_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-07-21",7659,"16:08:19","20:38:33",2.007,3.307,39.743,39.834,-105.006,-104.855
"20230724_CollinsAerospace_CAT_Methane.csv","2023 Q3 - July, August, September","CollinsAerospace","2023-07-24",7654,"15:39:47","21:22:28",1.972,2.463,38.218,39.74,-104.882,-104.458
"20230802_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-08-02",8065,"16:10:10","20:48:29",2.028,3.199,39.743,39.834,-105.006,-104.807
"20230803_HEPTerminal_CAT_Methane.csv","2023 Q3 - July, August, September","HEPTerminal","2023-08-03",7415,"16:12:08","20:55:00",1.978,4.062,39.747,39.914,-104.95,-104.81
"20230808_SuncorP66_CAT_Methane.csv","2023 Q3 - July, August, September","SuncorP66","2023-08-08",6239,"16:31:24","20:13:21",2.145,3.179,39.743,39.834,-105.006,-104.814
