"flight","date","n_legs_total","n_legs_used","leg_ids_used","background_ppb","background_src","blh_m","blh_src","wind_src","flux_kg_hr","flux_t_hr"
"AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict","2024-06-28",3,3,"1;2;3",1944.9,"auto_p05",2000,"default","aircraft",119.1,0.119
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict","2024-06-29",14,14,"1;2;3;4;5;6;7;8;9;10;11;12;13;14",1949.8,"auto_p05",2000,"default","aircraft",1286.4,1.286
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict","2024-06-29",10,10,"1;2;3;4;5;6;7;8;9;10",1988.2,"auto_p05",2000,"default","aircraft",1972.3,1.972
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L1.ict","2024-07-02",1,1,"7",1976,"auto_p05",2377,"config","aircraft",826.2,0.826
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict","2024-07-02",3,3,"1;2;3",1980.2,"auto_p05",2902,"config","aircraft",547.7,0.548
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L1.ict","2024-07-03",28,28,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28",1960.5,"auto_p05",2727,"config","aircraft",5464.6,5.465
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L2.ict","2024-07-03",6,6,"1;2;3;4;5;6",1955.4,"auto_p05",3352,"config","aircraft",3935.1,3.935
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L1.ict","2024-07-04",10,10,"1;2;3;4;5;6;7;8;9;10",1984.5,"auto_p05",2602,"config","aircraft",641.6,0.642
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L2.ict","2024-07-04",17,17,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17",1987.4,"auto_p05",2952,"config","aircraft",1107.3,1.107
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L1.ict","2024-07-05",24,24,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24",1979.2,"auto_p05",2477,"config","aircraft",1231.4,1.231
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L2.ict","2024-07-05",19,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19",1973.6,"auto_p05",4752,"config","aircraft",1005.3,1.005
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L1.ict","2024-07-08",19,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19",1958.7,"auto_p05",1602,"config","aircraft",488.9,0.489
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L2.ict","2024-07-08",12,12,"1;2;3;4;5;6;7;8;9;10;11;12",1991.8,"auto_p05",1852,"config","aircraft",357,0.357
"AMMBEC-ARL-Suite_TwinOtter_20240709_R0.ict","2024-07-09",15,15,"1;2;3;4;5;6;7;8;9;10;11;13;14;15;16",1964.9,"auto_p05",3302,"config","aircraft",918.4,0.918
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L1.ict","2024-07-10",18,18,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18",1960.4,"auto_p05",902,"config","aircraft",403.2,0.403
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L2.ict","2024-07-10",4,4,"1;2;3;4",1977.1,"auto_p05",3252,"config","aircraft",537.1,0.537
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L1.ict","2024-07-11",16,16,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16",1956.6,"auto_p05",852,"config","aircraft",695.6,0.696
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L2.ict","2024-07-11",19,19,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19",1960.6,"auto_p05",3802,"config","aircraft",735.1,0.735
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L1.ict","2024-07-12",7,7,"1;2;3;4;5;6;7",1935,"auto_p05",2802,"config","aircraft",2014.4,2.014
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L2.ict","2024-07-12",8,8,"1;2;3;4;5;6;7;8",1950.1,"auto_p05",4152,"config","aircraft",3520.5,3.52
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L1.ict","2024-07-13",25,25,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25",1944.1,"auto_p05",352,"config","aircraft",326.8,0.327
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L2.ict","2024-07-13",17,17,"1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18",1943.8,"auto_p05",1752,"config","aircraft",2809.5,2.81
