"file","site","date","n","n_plume","ch4_bg_med","ch4_enh_p95","ch4_enh_max"
"20230216_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-02-16",16174,6894,2.019,0.046,1.291
"20230224_SuncorP66_CAT_Methane.csv","SuncorP66","2023-02-24",16634,7033,2.252,0.054,2.531
"20230301_SuncorP66_CAT_Methane.csv","SuncorP66","2023-03-01",12862,6276,2.116,0.064,4.686
"20230308_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-03-08",17206,8937,2.043,0.027,0.363
"20230309_SuncorP66_CAT_Methane.csv","SuncorP66","2023-03-09",16770,6613,1.984,0.034,3.683
"20230313_SuncorP66_CAT_Methane.csv","SuncorP66","2023-03-13",18152,10296,2.042,0.04,2.971
"20230315_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-03-15",15675,11864,1.962,0.033,1.195
"20230321_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-03-21",16685,13394,1.993,0.023,1.174
"20230322_SuncorP66_CAT_Methane.csv","SuncorP66","2023-03-22",8466,3243,2.073,0.046,0.963
"20230323_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-03-23",11399,3692,2.084,0.025,0.451
"20230420_SuncorP66_CAT_Methane.csv","SuncorP66","2023-04-20",7196,1991,1.998,0.021,1.917
"20230424_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-04-24",7987,3233,2.006,0.029,0.426
"20230426_SuncorP66_CAT_Methane.csv","SuncorP66","2023-04-26",8029,4417,2.056,0.053,3.291
"20230427_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-04-27",6345,2002,1.974,0.028,0.744
"20230503_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-05-03",8091,2704,1.963,0.023,1.188
"20230504_SuncorP66_CAT_Methane.csv","SuncorP66","2023-05-04",6583,3330,1.975,0.063,5.549
"20230508_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-05-08",8049,1719,1.979,0.016,0.397
"20230509_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-05-09",9253,2802,1.98,0.019,0.823
"20230515_SuncorP66_CAT_Methane.csv","SuncorP66","2023-05-15",7411,3279,2.081,0.05,0.6
"20230516_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-05-16",8613,3289,1.984,0.039,0.269
"20230517_SuncorP66_CAT_Methane.csv","SuncorP66","2023-05-17",6893,1470,1.979,0.131,0.627
"20230522_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-05-22",8262,2670,2,0.048,0.726
"20230523_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-05-23",7129,1224,2.013,0.011,1.297
"20230530_SuncorP66_CAT_Methane.csv","SuncorP66","2023-05-30",7169,2533,1.991,0.085,1.032
"20230531_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-05-31",8398,2972,1.983,0.111,1.495
"20230607_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-06-07",8805,4403,1.981,0.029,0.546
"20230608_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-06-08",9079,1992,1.957,0.015,0.797
"20230614_SuncorP66_CAT_Methane.csv","SuncorP66","2023-06-14",9618,2675,1.98,0.088,0.345
"20230615_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-06-15",8997,3142,2.053,0.101,1.797
"20230616_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-06-16",11582,4981,2.058,0.043,2.401
"20230621_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-06-21",6594,2712,2.113,0.077,1.308
"20230622_SuncorP66_CAT_Methane.csv","SuncorP66","2023-06-22",5774,1677,1.964,0.022,0.21
"20230623_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-06-23",6414,3455,2.074,0.069,0.975
"20230626_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-06-26",8713,4853,1.989,0.041,1.438
"20230627_CollinsAerospace_CAT_Methane.csv","CollinsAerospace","2023-06-27",7493,2264,1.927,0.024,1.582
"20230711_SuncorP66_CAT_Methane.csv","SuncorP66","2023-07-11",5978,2871,1.943,0.03,0.517
"20230712_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-07-12",8323,2792,2.004,0.035,0.432
"20230713_SuncorP66_CAT_Methane.csv","SuncorP66","2023-07-13",7776,2678,1.984,0.043,0.867
"20230717_SuncorP66_CAT_Methane.csv","SuncorP66","2023-07-17",5663,1986,1.974,0.032,0.537
"20230718_HEPTerminal_CAT_Methane.csv","HEPTerminal","2023-07-18",6535,1494,1.938,0.016,0.934
"20230720_SuncorP66_CAT_Methane.csv","SuncorP66","2023-07-20",7780,2842,2.006,0.08,1.405
