"sec","timestamp","Latitude","Longitude","Alt_m","GndSpd","Heading","AirTemp_C","Pressure_mb","RH_pct","WindDir","WindSpd","CH4_ppb","CO2_ppm","CO_ppb","H2O_ppmv","O3_ppb","jNO2","site","survey_date","CH4_ppb_bg","CH4_ppb_enh","plume"
73715,2024-07-09 20:28:35,39.99268,-105.262192,1664.7,0.3,259.695,32.3,843.5,15.75,NA,NA,2036.5,433.6,9364.6,9929.5,55.1,0.0026005,"MobileLab",2024-07-09,1973.5,63,TRUE
73716,2024-07-09 20:28:36,39.99268,-105.262192,1664.7,0.1,259.673,32.22,843.5,15.33,NA,NA,2052.9,435.21,11685.9,9926.1,56.3,0.0026003,"MobileLab",2024-07-09,1973.56,79.3399999999999,TRUE
73717,2024-07-09 20:28:37,39.99268,-105.262192,1664.7,0.2,259.631,32.29,843.5,15.52,NA,NA,2058.8,435.27,14786.3,9926.7,56.5,0.0025723,"MobileLab",2024-07-09,1973.62,85.1800000000001,TRUE
73718,2024-07-09 20:28:38,39.99268,-105.262192,1664.7,0.1,259.615,32.07,843.5,15.62,NA,NA,2047.5,434.96,17644.3,9927.4,56.2,0.0025971,"MobileLab",2024-07-09,1973.68,73.8200000000002,TRUE
73719,2024-07-09 20:28:39,39.99268,-105.262192,1664.6,0.2,259.617,31.96,843.5,15.51,NA,NA,2036.2,435.12,20156.4,9937,58.1,0.0025937,"MobileLab",2024-07-09,1973.74,62.46,TRUE
73720,2024-07-09 20:28:40,39.99268,-105.262192,1664.7,0.2,259.583,31.98,843.5,15.5,NA,NA,2044.2,435.88,22387.8,9951.3,55.9,0.0025932,"MobileLab",2024-07-09,1973.8,70.4000000000001,TRUE
73721,2024-07-09 20:28:41,39.99268,-105.262192,1664.7,0.2,259.534,32.06,843.5,15.64,NA,NA,2052.4,436.67,18373.4,9957.8,56.8,0.0026003,"MobileLab",2024-07-09,1973.86,78.54,TRUE
73722,2024-07-09 20:28:42,39.99268,-105.262192,1664.7,0.2,259.623,32.17,843.5,15.54,NA,NA,2053.6,437.73,14359.1,9945.2,55.1,0.0025635,"MobileLab",2024-07-09,1973.92,79.6799999999998,TRUE
73723,2024-07-09 20:28:43,39.99268,-105.262192,1664.7,0.2,259.792,32.36,843.5,15.8,NA,NA,2051.5,438.78,11092.9,9932.7,56.8,0.0025928,"MobileLab",2024-07-09,1973.62,77.8800000000001,TRUE
73724,2024-07-09 20:28:44,39.99268,-105.262192,1664.6,0.3,259.938,32.39,843.5,15.97,NA,NA,2043.3,435.47,8076,9922,56.6,0.0025828,"MobileLab",2024-07-09,1973.545,69.7549999999999,TRUE
