"flight","date","n_full","n_qc","pbl_filter_applied","fossil_full","fossil_QC","delta"
"20240703_R0_L1","2024-07-03",896,896,TRUE,21,21,0
"20240703_R0_L2","2024-07-03",286,138,TRUE,24,20,4
"20240705_R0_L1","2024-07-05",937,776,TRUE,NA,NA,NA
"20240708_R0_L1","2024-07-08",464,151,TRUE,0,0,0
"20240708_R0_L2","2024-07-08",68,0,FALSE,NA,NA,NA
"20240709_R0","2024-07-09",296,296,TRUE,42,42,0
"20240710_R0_L1","2024-07-10",1058,575,TRUE,0,0,0
"20240710_R0_L2","2024-07-10",185,0,FALSE,NA,NA,NA
"20240712_R0_L1","2024-07-12",133,133,TRUE,NA,NA,NA
"20240713_R0_L1","2024-07-13",2345,1064,TRUE,50,50,0
"20240713_R0_L2","2024-07-13",1148,263,TRUE,57,44,12
