"flight","date","n","ch4_co_slope","ch4_co_slope_york","r_co","n_legs_co","xrange_co","co_l1o_min","co_l1o_max","E_CH4_from_CO_t_hr","E_CH4_CO_lo","E_CH4_CO_hi","ch4_co2_slope","ch4_co2_slope_york","r_co2","n_legs_co2","xrange_co2","co2_l1o_min","co2_l1o_max","E_CH4_from_CO2_t_hr","E_CH4_CO2_lo","E_CH4_CO2_hi","usable_co","usable_co2","c2h6_ch4_slope_york","fossil_frac_york"
"20240703_R0_L1","2024-07-03",703,0.581,0.693,0.91,8,106.5,0.498,0.663,4.61,1.59,5.56,4.18,4.34,0.9,8,24.43,3.95,4.28,4.08,-0.5,4.46,TRUE,TRUE,0.02123,0.21
"20240703_R0_L2","2024-07-03",227,0.671,1.152,0.76,4,42.8,0.402,0.739,5.32,0.98,6.62,-0.02,-0.05,0,4,4.41,-2.43,4.99,-0.02,-3.04,5.05,FALSE,FALSE,0.02472,0.24
"20240705_R0_L1","2024-07-05",739,0.186,5.288,0.18,5,24.6,0.126,0.216,1.47,0.11,1.87,-2.38,-76.01,-0.14,5,1.73,-3.08,-1.33,-2.32,-4.14,-0.47,FALSE,FALSE,NA,NA
"20240708_R0_L1","2024-07-08",363,1.047,1.43,0.85,5,52.4,0.794,1.205,8.31,0.08,10.09,0.5,105.18,0.04,5,4.65,-3.41,4.9,0.49,-8.35,8.64,TRUE,FALSE,-0.02855,0
"20240708_R0_L2","2024-07-08",55,0.054,0.09,0.37,1,23.4,NA,NA,0.43,0.43,0.43,-0.96,-1.04,-0.33,1,1.12,NA,NA,-0.94,-0.94,-0.94,FALSE,FALSE,NA,NA
"20240709_R0","2024-07-09",227,0.87,0.985,0.94,3,119,0.755,0.88,6.9,3.77,7.11,6.24,6.44,0.95,3,16.88,-0.05,6.43,6.09,-7.41,6.33,TRUE,FALSE,0.04248,0.42
"20240710_R0_L1","2024-07-10",879,0.646,2.415,0.51,6,86.6,0.444,0.883,5.13,1.91,10.34,0.92,1.29,0.17,6,21.71,-0.38,1.74,0.9,-2,6.88,FALSE,FALSE,-0.01289,0
"20240710_R0_L2","2024-07-10",135,0.005,0.006,0.07,1,21.4,NA,NA,0.04,0.04,0.04,0.24,0.25,0.27,1,1.55,NA,NA,0.24,0.24,0.24,FALSE,FALSE,NA,NA
"20240712_R0_L1","2024-07-12",65,0.055,0.08,0.43,2,20.4,0.007,0.033,0.44,0.05,0.44,NA,NA,1,1,0.02,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
"20240713_R0_L1","2024-07-13",1814,1.349,1.632,0.91,12,135.7,1.208,1.381,10.71,5.94,12.24,4.23,4.57,0.82,12,71.77,3.78,6.51,4.13,3.39,7.32,TRUE,FALSE,0.05144,0.5
"20240713_R0_L2","2024-07-13",870,0.566,4.498,0.35,8,29.3,0.412,0.626,4.49,1.31,6.54,8.3,30.62,0.46,8,2.59,5.49,8.99,8.1,-1.42,9.63,FALSE,FALSE,0.05776,0.57
