"flight","n","r_ethane","ff_ols","ff_rma","ff_york","r_co","co_ols","co_rma","co_york"
"20240703_R0_L1",160,0.46,20,44,21,0.91,0.581,0.64,0.693
"20240703_R0_L2",45,0.39,23,57,24,0.76,0.671,0.888,1.152
"20240705_R0_L1",7,NA,NA,NA,NA,0.18,0.186,1.01,5.288
"20240708_R0_L1",121,-0.47,0,0,0,0.85,1.047,1.228,1.43
"20240708_R0_L2",0,NA,NA,NA,NA,0.37,0.054,0.145,0.09
"20240709_R0",84,0.95,41,44,42,0.94,0.87,0.928,0.985
"20240710_R0_L1",185,-0.34,0,0,0,0.51,0.646,1.261,2.415
"20240710_R0_L2",0,NA,NA,NA,NA,0.07,0.005,0.077,0.006
"20240712_R0_L1",0,NA,NA,NA,NA,0.43,0.055,0.129,0.08
"20240713_R0_L1",843,0.93,50,54,50,0.91,1.349,1.487,1.632
"20240713_R0_L2",234,0.78,54,69,57,0.35,0.566,1.607,4.498
