"flight","date","n_urban_legs","n_edge_legs","n_basin_legs","urban_lat_min","urban_curtain_diag_t_hr","urban_c2h6_ch4","urban_fossil_frac","basin_flux_t_hr","blh_m"
"AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict","2024-06-28",0,0,3,NA,NA,NA,NA,0.465,2000
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict","2024-06-29",0,4,10,NA,NA,NA,NA,8.236,2000
"AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict","2024-06-29",0,0,10,NA,NA,NA,NA,2.594,2000
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L1.ict","2024-07-02",0,0,1,NA,NA,NA,NA,0.719,2000
"AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict","2024-07-02",0,1,2,NA,NA,NA,NA,0.429,2000
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L1.ict","2024-07-03",8,8,12,39.557,1.389,0.0212,0.21,3.709,2000
"AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L2.ict","2024-07-03",4,1,1,39.603,1.161,0.0247,0.24,1.31,2000
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L1.ict","2024-07-04",0,3,7,NA,NA,NA,NA,0.846,2000
"AMMBEC-ARL-Suite_TwinOtter_20240704_R0_L2.ict","2024-07-04",0,2,15,NA,NA,NA,NA,1.034,2000
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L1.ict","2024-07-05",5,10,9,39.579,1.083,NA,NA,0.183,2000
"AMMBEC-ARL-Suite_TwinOtter_20240705_R0_L2.ict","2024-07-05",0,4,15,NA,NA,NA,NA,0.857,2000
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L1.ict","2024-07-08",5,7,7,39.62,0.473,-0.0285,0,1.468,2000
"AMMBEC-ARL-Suite_TwinOtter_20240708_R0_L2.ict","2024-07-08",1,3,8,39.741,0.31,NA,NA,0.208,2000
"AMMBEC-ARL-Suite_TwinOtter_20240709_R0.ict","2024-07-09",3,8,4,39.575,0.809,0.0425,0.42,0.297,2000
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L1.ict","2024-07-10",6,4,8,39.624,0.737,-0.0129,0,0.486,2000
"AMMBEC-ARL-Suite_TwinOtter_20240710_R0_L2.ict","2024-07-10",1,0,3,39.628,0.016,NA,NA,0.468,2000
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L1.ict","2024-07-11",0,1,15,NA,NA,NA,NA,0.95,2000
"AMMBEC-ARL-Suite_TwinOtter_20240711_R0_L2.ict","2024-07-11",0,1,18,NA,NA,NA,NA,0.471,2000
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L1.ict","2024-07-12",2,1,4,39.852,0.008,NA,NA,1.936,2000
"AMMBEC-ARL-Suite_TwinOtter_20240712_R0_L2.ict","2024-07-12",0,4,4,NA,NA,NA,NA,1.937,2000
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L1.ict","2024-07-13",12,4,9,39.559,2.161,0.0514,0.5,7.669,2000
"AMMBEC-ARL-Suite_TwinOtter_20240713_R0_L2.ict","2024-07-13",8,7,2,39.539,2.637,0.0578,0.57,3.917,2000
