"leg_id","n","lat","lon","mean_alt_m","agl_m","track_deg","length_km","ch4_enh_mean_ppb","U_perp_ms","wind_src","L_mol_per_m_s","region","flight"
1,71,40.352,-104.519,2363,914,-127.7,4.13,5.1,2.79,"aircraft",0.00176846955493442,"basin","AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict"
2,70,40.154,-104.902,2366,859,-97.1,3.78,1.4,3.02,"aircraft",0.000495063049768384,"basin","AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict"
3,91,40.089,-105.213,2359,767,-143.7,5.14,0.8,8.71,"aircraft",0.00125008664726368,"basin","AMMBEC-ARL-Suite_TwinOtter_20240628_R0.ict"
1,85,40.315,-105.029,3286,1776,37.9,10.64,2.7,3.67,"aircraft",0.00316149863846414,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
2,346,40.359,-104.779,3286,1833,85,28.8,2.4,4.4,"aircraft",0.00860674429075548,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
3,78,40.374,-104.541,3288,1866,85.1,6.61,2.3,3.97,"aircraft",0.00171654745467119,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
4,233,40.412,-104.438,3292,1895,-94.5,13.59,0.4,6.82,"aircraft",0.00110881890002036,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
5,79,40.418,-104.351,3296,1901,64,6.27,2,0.61,"aircraft",0.000219384962730602,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
6,91,40.557,-104.388,3294,1831,-47,5.87,1.7,11.91,"aircraft",0.00331453635921147,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
7,102,40.58,-104.611,3293,1825,-89.7,6.3,1.6,4.97,"aircraft",0.00144182825309822,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
8,91,40.579,-104.765,3305,1831,-90.3,5.42,0.6,5.1,"aircraft",0.000497427227772369,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
9,71,39.92,-105.255,2672,872,176.7,4.63,62.2,1.57,"aircraft",0.0143099872403396,"edge","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
10,111,39.959,-105.265,2669,914,1,7.67,59.1,1.86,"aircraft",0.0258847625306699,"edge","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
11,114,40.065,-105.263,2668,1051,0.9,7.83,55.2,1.91,"aircraft",0.0255575811915645,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
12,63,40.131,-105.263,2670,1081,-0.2,4.27,51.4,1.64,"aircraft",0.0113096504824099,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
13,37,39.913,-105.252,2651,851,173.9,5.24,61.6,1.3,"aircraft",0.019367714630425,"edge","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
14,117,39.822,-105.24,2653,844,174.4,7.92,52.1,1.07,"aircraft",0.0136132606289705,"edge","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L1.ict"
1,64,40.582,-104.715,2016,545,-91.5,4.2,23.6,4.81,"aircraft",0.0155190753735749,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
2,168,40.522,-104.798,2024,572,-151.2,11.07,22.2,3.53,"aircraft",0.0283588318782915,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
3,75,40.318,-104.948,2016,542,-150.8,5.03,16.6,2.73,"aircraft",0.00728849479119575,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
4,77,40.079,-104.667,2031,499,80.5,4.78,0.8,2.23,"aircraft",0.000266802880677975,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
5,64,40.133,-104.564,2034,520,36.3,4.3,0.6,7.38,"aircraft",0.000677164244800865,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
6,69,40.581,-104.632,2031,563,-89.6,8.42,26.6,4.92,"aircraft",0.0413646274726895,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
7,179,40.519,-104.799,2033,581,-150.9,12.31,17.8,5.96,"aircraft",0.0423420475704834,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
8,84,40.335,-104.935,2031,564,-150.7,5.91,12.1,3.15,"aircraft",0.00749496358509556,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
9,73,40.24,-105.005,2027,540,-150.5,5.02,11,2.5,"aircraft",0.0044949082149357,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
10,59,40.111,-105.099,2026,482,-150.5,7.24,17.4,1.98,"aircraft",0.00611798241819693,"basin","AMMBEC-ARL-Suite_TwinOtter_20240629_R0_L2.ict"
7,63,40.563,-104.397,2007,538,141.3,4.38,12.2,5.57,"aircraft",0.00981511064326472,"basin","AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L1.ict"
1,72,40.011,-105.132,2037,407,-89.4,4.56,0.9,3.09,"aircraft",0.000336328983990407,"edge","AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict"
2,70,40.163,-104.536,2359,879,-143.8,4.67,12,5.56,"aircraft",0.00842456081962896,"basin","AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict"
3,65,40.162,-104.537,2354,873,-143.1,4.83,4.2,5.4,"aircraft",0.00305456155363644,"basin","AMMBEC-ARL-Suite_TwinOtter_20240702_R0_L2.ict"
1,104,39.997,-105.269,3313,1601,171.7,6.57,17.5,10.92,"aircraft",0.0353653555127789,"edge","AMMBEC-ARL-Suite_TwinOtter_20240703_R0_L1.ict"
