"flight","date","n","mean_WS","wd_from","pct_from_NE","fossil_pct"
"20240703_R0_L1","2024-07-03",1787,2.4,63,48,19
"20240703_R0_L2","2024-07-03",2559,10.4,299,1,22
"20240705_R0_L1","2024-07-05",2346,3.7,56,70,NA
"20240708_R0_L1","2024-07-08",2639,2.4,74,36,0
"20240708_R0_L2","2024-07-08",1127,3.9,76,80,NA
"20240709_R0","2024-07-09",2762,6.2,16,39,39
"20240710_R0_L1","2024-07-10",2426,2.5,52,50,0
"20240710_R0_L2","2024-07-10",1848,3.3,30,50,NA
"20240712_R0_L1","2024-07-12",2024,9,336,9,NA
"20240713_R0_L1","2024-07-13",1897,3.1,52,77,47
"20240713_R0_L2","2024-07-13",2555,3.9,63,68,53
